GSM1314222_HOSE2008	GSM1314223_HOSE2061	GSM1314224_HOSE2064	GSM1314225_HOSE2085	GSM1314226_HOSE2230	GSM1314227_HOSE2237	GSM1314228_317T	GSM1314229_324CT	GSM1314230_377T	GSM1314231_380T	GSM1314232_388T	GSM1314233_389T	GSM1314234_412T	GSM1314235_431T	GSM1314236_486T	GSM1314237_645T	GSM1314238_660T	GSM1314239_692T	GSM1314240_702T	GSM1314241_765T	GSM1314242_778T	GSM1314243_872T
1555408_at	6.55248846864878	5.96022841138637	7.50373954716527	7.14840315732223	3.29736741408387	3.19173999056305	5.24757943072968	5.83533911583381	6.14479799773838	5.50390087177528	6.75841459573205	5.01311350920134	4.56309409921255	3.1532610860415	3.76749296237226	3.37340808530748	2.94143501882868	3.61695691480093	5.82921357659186	5.30517297832845	4.40542073276928	5.43890189006254
1555564_a_at	4.59147279890206	6.21747936369405	5.59377663670806	5.72722744983543	8.29535169523732	7.53902531096274	3.47092755899657	1.9760272072195	3.24688213314494	3.11830045973973	2.9213433193266	2.528831484609	3.29259451838629	3.92878948676736	2.47261376433304	6.03051171364983	5.61798554023586	3.10806486017609	4.17119363196939	4.56105796028104	1.97965053001593	2.90996856728828
1555579_s_at	6.01188433523882	5.37477734926557	6.01909005424929	3.97369574419626	5.43515268226608	5.96454284416267	4.71442414805389	5.36961400088657	6.30719377683335	5.87802388443687	5.05364377079351	7.45976308107428	5.92978662012769	7.93268087518949	8.7403977312285	5.71160466197661	7.60611451853312	6.0561778711263	6.259763464358	6.52239839034695	7.50394826083307	7.58521087098836
1555745_a_at	4.94596105556635	2.25459908777359	3.39412984315286	1.49321847527462	5.25834350016635	3.27128315486033	2.57787367016483	1.47592336444162	1.83571271037142	4.07770498225567	1.64030224951837	1.52892666549863	1.63746631942012	1.06427382975947	1.68374955288128	2.14267255991774	1.96589627508352	1.79415798628821	3.29034648319876	1.87309838604766	5.26527117332744	1.40423191748822
1555758_a_at	2.62526064463699	2.34514033348633	3.08374759167909	2.07025883636375	2.4523703996928	1.94881796049587	3.64607929155489	4.32423433434949	4.67403411465445	4.04164948409115	4.36977525771387	4.4309328891008	3.47199718326157	4.92161243046176	4.56743262856194	5.68402945654444	5.4819657896374	5.00252377099808	4.12856953268341	3.39449851892407	5.60640824343502	3.01360748416185
1555867_at	2.21044305878302	5.24628651900112	4.27527842728912	3.36383978487926	1.96301292330458	5.80075670764328	2.19754806796361	2.32609666400651	2.19770825787265	1.93465771976995	1.98922850264592	4.34308236444339	2.06265444436061	1.84374433663549	1.63834270929428	2.02745491143899	1.29039376537561	1.76957081848902	1.59169237509379	1.84036007449748	2.04820182632655	1.84933502511176
1555888_at	3.9297350376805	2.88429948365064	3.33705371774358	3.20859881508959	5.24141407224911	4.20136204136775	4.52250960342535	4.78284516063326	3.37135866581337	5.79332557155537	5.76582507146249	6.00882431049188	5.93908106561561	5.81907142422921	5.53199214394937	5.43360651560191	7.42561314266665	6.33633720169713	5.45995056443811	3.58695924208589	4.4687446521637	4.79837669578657
1555967_at	5.83270385160825	5.84379254260277	5.97700704485204	4.61399545632178	6.45766813963853	7.66677754769276	4.67398634521177	5.80284663802583	5.13623514085298	3.62639979769214	4.77866803908984	4.54318256961562	5.41121715271992	6.74727527260862	4.1787656825092	4.40935175823697	4.61947903613931	5.82620955413532	3.49704237488534	3.9683520451224	6.96648699086726	4.42553139339046
1556029_s_at	3.21262328383648	2.78242190125303	2.4291210244984	3.08967790795317	2.9108989469427	2.83411682739826	3.20908473992791	3.51325880291816	2.73383267820316	3.48911291402271	3.69021886062922	3.06076803832367	3.00597875894398	3.14445814319803	2.07502197404367	2.09415248176283	2.42408286373926	8.40461553102124	4.38268172591477	2.88077125445199	3.0494478895708	3.61883714541292
1556051_a_at	3.68075460966974	4.3422329022429	4.7649886864058	3.7537859241713	4.35260980195527	5.19630380853137	5.41465745197236	5.67670974227523	5.19827680621791	6.28382082423558	6.14766410866695	3.22823739334317	5.77722519576946	8.4851167100124	6.84748203222286	7.76819119127289	5.45150568265854	5.7601208961584	5.22499160032239	6.12906986585248	3.90220824925247	6.67493072616826
