"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"status"
"212843_at"	4.2142095834636	4.23636919585058	8.02507568252511	6.40075267642417e-09	6.40075267642417e-09	10.4908153303428	"Upregulated"
"228716_at"	4.12108126682358	4.90599210659124	8.02450651009275	6.41010668081651e-09	6.41010668081651e-09	10.489382717778	"Upregulated"
"208711_s_at"	3.29463146921956	4.28584986129337	8.02406306430128	6.41740409972381e-09	6.41740409972381e-09	10.4882665307557	"Upregulated"
"201510_at"	2.74001577624906	4.66785328640078	8.01935543145226	6.49539779244216e-09	6.49539779244216e-09	10.4764154580392	"Upregulated"
"229657_at"	3.53860373145903	4.46362467521885	8.01661026110047	6.54132367944228e-09	6.54132367944228e-09	10.4695033710846	"Upregulated"
"227449_at"	4.57692543559217	4.7997920965377	7.99617449240364	6.89377763021028e-09	6.89377763021028e-09	10.4180167605113	"Upregulated"
"1552390_a_at"	4.43451661350485	4.48957250497253	7.98028041624172	7.18124110509856e-09	7.18124110509856e-09	10.3779346525148	"Upregulated"
"229281_at"	4.61211402054148	5.27466646485197	7.97354533733493	7.30671091959617e-09	7.30671091959617e-09	10.3609399357603	"Upregulated"
"224428_s_at"	3.17086047839342	5.3195801748622	7.97163422731049	7.34271885199959e-09	7.34271885199959e-09	10.3561165210131	"Upregulated"
"227462_at"	5.44424934530651	5.48317801155935	7.96675755267608	7.43542380657576e-09	7.43542380657576e-09	10.343806201586	"Upregulated"
"235700_at"	5.49796391238171	4.88402382827688	7.96628482542293	7.44447347216573e-09	7.44447347216573e-09	10.3426127177468	"Upregulated"
"209392_at"	4.30433043984415	4.16080173751155	7.95631341590187	7.6379991049872e-09	7.6379991049872e-09	10.3174312981537	"Upregulated"
"220051_at"	3.33852933838846	4.85223043090521	7.95365287954799	7.69049612964804e-09	7.69049612964804e-09	10.3107102785723	"Upregulated"
"202007_at"	4.00791741131232	3.65658447955222	7.95357536600101	7.69203110742257e-09	7.69203110742257e-09	10.3105144507484	"Upregulated"
"1552797_s_at"	4.04004087827915	6.23138618538622	7.94662817305199	7.83088000140308e-09	7.83088000140308e-09	10.2929600830496	"Upregulated"
"58916_at"	3.71120474659855	4.44093473480437	7.94609407594957	7.84165979683518e-09	7.84165979683518e-09	10.2916102495844	"Upregulated"
"207981_s_at"	4.17174247566716	4.24341385967523	7.94121127866994	7.94091409503026e-09	7.94091409503026e-09	10.2792681358291	"Upregulated"
"205016_at"	3.80332668429348	4.59657439994488	7.94012523207041	7.96316402151115e-09	7.96316402151115e-09	10.2765225414991	"Upregulated"
"227742_at"	4.35014526046111	4.62704655391842	7.93574269297346	8.05359678852966e-09	8.05359678852966e-09	10.265441639553	"Upregulated"
"244407_at"	3.91341840932809	3.78499046215757	7.91924683686895	8.40347204036184e-09	8.40347204036184e-09	10.2237106851009	"Upregulated"
"203276_at"	2.92953662658719	4.65404535059002	7.91457982681779	8.50524197531724e-09	8.50524197531724e-09	10.2118977135725	"Upregulated"
"216834_at"	4.5041913134136	6.64627716355043	7.91245405489657	8.5520124726138e-09	8.5520124726138e-09	10.2065160933407	"Upregulated"
"222347_at"	3.64766731452503	4.11465700006564	7.91120598967763	8.57959397710380e-09	8.57959397710380e-09	10.2033562076515	"Upregulated"
"1558404_at"	3.36873554891309	2.55711804658768	7.91117632480951	8.58025065476023e-09	8.58025065476023e-09	10.2032810988569	"Upregulated"
"230913_at"	3.78137552555119	4.19383633223445	7.90718294910147	8.66911929934633e-09	8.66911929934633e-09	10.1931691820674	"Upregulated"
"218542_at"	2.93279177120518	5.9619271242684	7.89873494416221	8.86022473328775e-09	8.86022473328775e-09	10.1717705324535	"Upregulated"
"204254_s_at"	3.39678007000425	4.35572910359112	7.89016831861813	9.05839874203106e-09	9.05839874203106e-09	10.1500619381356	"Upregulated"
"229357_at"	4.63250759482576	4.48962111857647	7.88670684856263	9.13974951145047e-09	9.13974951145047e-09	10.1412875580206	"Upregulated"
"219275_at"	3.44215290674596	4.1805136189218	7.86325082315623	9.71097771799539e-09	9.71097771799539e-09	10.0817885880991	"Upregulated"
"231131_at"	3.35644313602819	2.08592214951598	7.86267897780733	9.72534932475114e-09	9.72534932475114e-09	10.0803371444731	"Upregulated"
"214012_at"	4.19498733361379	3.72003385161423	7.85919613675245	9.81334909136528e-09	9.81334909136528e-09	10.0714961698054	"Upregulated"
"235425_at"	4.17314322882441	4.48238967273366	7.85515084778401	9.91657892913359e-09	9.91657892913359e-09	10.0612254853993	"Upregulated"
"203184_at"	4.02505781799475	3.61859304830823	7.85318051691517	9.96725882029941e-09	9.96725882029941e-09	10.0562221967916	"Upregulated"
"209168_at"	2.77725283224501	4.1593586872498	7.84910729616046	1.00728663653269e-08	1.00728663653269e-08	10.0458774188999	"Upregulated"
"228955_at"	2.99112206602534	4.56925397966772	7.84907419663889	1.00737291988321e-08	1.00737291988321e-08	10.0457933471034	"Upregulated"
"235363_at"	2.89544703316848	4.4422276228793	7.84163890714768	1.02694719117424e-08	1.02694719117424e-08	10.0269043460237	"Upregulated"
"211548_s_at"	4.94921919286316	4.53227044039794	7.83807264242689	1.03647285206516e-08	1.03647285206516e-08	10.0178418855762	"Upregulated"
"220102_at"	3.46716704121654	2.21436615827892	7.83610499444012	1.04176701131086e-08	1.04176701131086e-08	10.0128410682691	"Upregulated"
"218585_s_at"	2.86934318936975	5.13707908084197	7.83503475263186	1.0446581643274e-08	1.0446581643274e-08	10.0101208172052	"Upregulated"
"242546_at"	3.65824128055471	5.34501816130671	7.83374290907059	1.04815884178494e-08	1.04815884178494e-08	10.0068371205029	"Upregulated"
"204510_at"	2.83768936948685	4.82955363585164	7.83210664798787	1.05260999090138e-08	1.05260999090138e-08	10.0026776506664	"Upregulated"
"205402_x_at"	3.54893847130332	4.80669876312222	7.83202321410885	1.05283747274592e-08	1.05283747274592e-08	10.0024655476914	"Upregulated"
"202936_s_at"	2.73535136495187	4.96503038633308	7.82928033069869	1.06034387299111e-08	1.06034387299111e-08	9.99549217618441	"Upregulated"
"229927_at"	4.3879918713863	5.8559644688517	7.82589982722144	1.06967028263098e-08	1.06967028263098e-08	9.9868964165666	"Upregulated"
"203726_s_at"	5.11256263340784	5.67159495859426	7.81998779545988	1.08618220710437e-08	1.08618220710437e-08	9.97186008580501	"Upregulated"
"244107_at"	3.95011640220336	2.62673580782347	7.8120751114847	1.10868892630428e-08	1.10868892630428e-08	9.95172836633614	"Upregulated"
"225275_at"	3.7292410931034	3.69477660379697	7.81164382084914	1.10992924723371e-08	1.10992924723371e-08	9.95063083053683	"Upregulated"
"223839_s_at"	3.12481730570902	4.29766727772333	7.81031015988773	1.11377358610346e-08	1.11377358610346e-08	9.94723681775692	"Upregulated"
"241745_at"	3.36542537660622	2.52582254686592	7.80440688370045	1.13095359759964e-08	1.13095359759964e-08	9.93221091699421	"Upregulated"
"1556097_at"	2.64784419885133	4.48227648366889	7.79960267097611	1.1451341218594e-08	1.1451341218594e-08	9.91997921200823	"Upregulated"
"224480_s_at"	3.54646185775033	2.68849237178479	7.78236257597574	1.19752949114e-08	1.19752949114e-08	9.87606090231406	"Upregulated"
"232313_at"	4.14778179013188	4.76695097661179	7.78100283201872	1.2017644472189e-08	1.2017644472189e-08	9.87259539931687	"Upregulated"
"229831_at"	5.02240171623771	3.6140552598019	7.77719750916356	1.21369747026019e-08	1.21369747026019e-08	9.86289572849091	"Upregulated"
"205549_at"	4.91483845597678	5.0467042684774	7.77191560450479	1.23046115905169e-08	1.23046115905169e-08	9.84942921691834	"Upregulated"
"232231_at"	3.76823152976225	4.23758202456741	7.77088632211699	1.2337552450197e-08	1.2337552450197e-08	9.84680458837585	"Upregulated"
"222139_at"	3.34820291901974	4.60002610497799	7.76609674881356	1.24920218697169e-08	1.24920218697169e-08	9.83458958817977	"Upregulated"
"223842_s_at"	3.47235282883632	4.14942382071315	7.76450603157445	1.25437589037253e-08	1.25437589037253e-08	9.83053208315519	"Upregulated"
"211376_s_at"	3.66005028739238	3.98456706048583	7.76150685188138	1.26418995861142e-08	1.26418995861142e-08	9.82288107826924	"Upregulated"
"228124_at"	3.47811023383405	4.35003397596463	7.76143816341732	1.26441563809766e-08	1.26441563809766e-08	9.82270583830774	"Upregulated"
"231779_at"	3.64130325187523	4.57644314641328	7.75863536641012	1.27365944892362e-08	1.27365944892362e-08	9.81555474912436	"Upregulated"
"204162_at"	3.20690035084552	5.50001984813439	7.75476347222968	1.28654253322898e-08	1.28654253322898e-08	9.80567430350551	"Upregulated"
"230179_at"	4.30405929780667	5.05550108106713	7.75134463121323	1.29802844790565e-08	1.29802844790565e-08	9.79694838604061	"Upregulated"
"205668_at"	4.19605587630843	5.05374396964006	7.74735306678792	1.31157069018892e-08	1.31157069018892e-08	9.78675881923731	"Upregulated"
"224325_at"	3.47780916908063	2.96354154060504	7.74316645356288	1.32592931613847e-08	1.32592931613847e-08	9.77606915507113	"Upregulated"
"204641_at"	2.5425423260242	5.53205805810196	7.73700815067099	1.34734160938392e-08	1.34734160938392e-08	9.76034112653157	"Upregulated"
"241017_at"	4.08092048163946	4.73561095273376	7.72525958019517	1.38917294089719e-08	1.38917294089719e-08	9.73032242535893	"Upregulated"
"223687_s_at"	3.62319727764961	4.50773815052939	7.71589030109571	1.42347896206991e-08	1.42347896206991e-08	9.70637047002074	"Upregulated"
"235368_at"	4.10348697554378	4.00197853073286	7.7137187780452	1.43155247115187e-08	1.43155247115187e-08	9.70081752205473	"Upregulated"
"230378_at"	3.48428050672522	3.89527697172308	7.71291796498133	1.4345415685586e-08	1.4345415685586e-08	9.69876955807711	"Upregulated"
"224444_s_at"	3.5164538995633	4.47042882556193	7.71245713095641	1.43626454731838e-08	1.43626454731838e-08	9.69759100462984	"Upregulated"
"223629_at"	5.62328979320197	5.6579671196363	7.70048375378278	1.48177717607172e-08	1.48177717607172e-08	9.66696042978478	"Upregulated"
"204531_s_at"	3.28828955221373	4.39075313441798	7.69479780500648	1.50390189912038e-08	1.50390189912038e-08	9.65240814729141	"Upregulated"
"214761_at"	4.54120020235266	4.3439562642404	7.69310977774802	1.51053474693377e-08	1.51053474693377e-08	9.64808712273934	"Upregulated"
"225502_at"	3.62957751031172	3.39264706774443	7.69089951509489	1.51926469213467e-08	1.51926469213467e-08	9.6424287317114	"Upregulated"
"242127_at"	3.83311031975693	2.9162764320852	7.68803108570001	1.53067085669017e-08	1.53067085669017e-08	9.63508447824004	"Upregulated"
"230482_at"	4.1231454055045	4.95016488749717	7.68749506301432	1.53281197243856e-08	1.53281197243856e-08	9.633711944182	"Upregulated"
"204052_s_at"	4.52050067349646	3.49981922588729	7.68342686603707	1.54916188528049e-08	1.54916188528049e-08	9.62329377931535	"Upregulated"
"203549_s_at"	3.47967182182654	4.07135794183544	7.6796993420047	1.56429849109304e-08	1.56429849109304e-08	9.61374620344423	"Upregulated"
"213316_at"	3.94306091256458	3.03922808176659	7.67537165913751	1.5820612098144e-08	1.5820612098144e-08	9.60265919925332	"Upregulated"
"209529_at"	3.57363100984157	4.22097940049489	7.67419652824392	1.58691981790449e-08	1.58691981790449e-08	9.59964824734578	"Upregulated"
"218051_s_at"	3.13197401462563	4.46696052207491	7.67363171508884	1.5892604541112e-08	1.5892604541112e-08	9.59820100600405	"Upregulated"
"206595_at"	3.86840428265235	3.56465682794598	7.66856742844075	1.61040497728812e-08	1.61040497728812e-08	9.58522280413984	"Upregulated"
"34210_at"	3.53770891245991	3.15427380231231	7.65640260740274	1.66237375364815e-08	1.66237375364815e-08	9.55403493831142	"Upregulated"
"238441_at"	3.84673086604633	3.94945562475399	7.65443501626239	1.67093841328478e-08	1.67093841328478e-08	9.54898872912509	"Upregulated"
"226851_at"	5.30749176713532	4.74707220873925	7.64372111394871	1.71836907573153e-08	1.71836907573153e-08	9.52150264579209	"Upregulated"
"212891_s_at"	3.17098181952765	4.08931138290366	7.63932361016823	1.73823152016746e-08	1.73823152016746e-08	9.51021685995395	"Upregulated"
"227812_at"	3.79039774256216	4.83882868746592	7.63403654115566	1.76242159671625e-08	1.76242159671625e-08	9.49664487976189	"Upregulated"
"227314_at"	3.70232127783406	3.04479893138823	7.62917119051864	1.78498486620368e-08	1.78498486620368e-08	9.48415236465889	"Upregulated"
"217997_at"	3.71326112395573	3.7896376050833	7.62825855356783	1.78924989641443e-08	1.78924989641443e-08	9.4818087029806	"Upregulated"
"204529_s_at"	3.81657667948593	3.85037352062986	7.62604915215365	1.79961810303682e-08	1.79961810303682e-08	9.47613450465608	"Upregulated"
"230406_at"	3.35000995280335	4.79196959196739	7.62174074439417	1.82001269600234e-08	1.82001269600234e-08	9.46506787014741	"Upregulated"
"222830_at"	3.16916841529258	4.84562775378217	7.61061587986013	1.87376901979276e-08	1.87376901979276e-08	9.43648167189316	"Upregulated"
"218355_at"	2.64741017873248	4.63251474815757	7.60931396514038	1.88016472182693e-08	1.88016472182693e-08	9.43313529227282	"Upregulated"
"219607_s_at"	4.80304888528599	3.49235057606579	7.60238933739513	1.91455746715143e-08	1.91455746715143e-08	9.41533300907808	"Upregulated"
"229007_at"	3.65733153461102	3.26839369791776	7.6011781718252	1.92063846538307e-08	1.92063846538307e-08	9.4122186522085	"Upregulated"
"228740_at"	4.09476266320371	3.13357535648633	7.6011187889182	1.92093711900112e-08	1.92093711900112e-08	9.41206595198538	"Upregulated"
"201292_at"	3.30159041779043	6.14340998221433	7.60075756723199	1.92275482453987e-08	1.92275482453987e-08	9.41113707873822	"Upregulated"
"226319_s_at"	2.82374524442716	4.14329834941937	7.59129187247999	1.9710163005853e-08	1.9710163005853e-08	9.38679047617715	"Upregulated"
"201110_s_at"	4.8205132787936	4.90473340684164	7.58911127823857	1.98230783522852e-08	1.98230783522852e-08	9.38118021655379	"Upregulated"
"229764_at"	4.25947304825784	3.49091564570541	7.57716615914559	2.04534041303128e-08	2.04534041303128e-08	9.35043719272432	"Upregulated"
"209172_s_at"	3.01981433911557	5.26898314846404	7.56604272493579	2.10587065042059e-08	2.10587065042059e-08	9.32179302440557	"Upregulated"
"205373_at"	3.63038678555012	4.19039805451612	7.56560302479816	2.10830046851053e-08	2.10830046851053e-08	9.32066042944298	"Upregulated"
"216615_s_at"	4.02044853243075	4.82117227362525	7.54515511533109	2.22450618813941e-08	2.22450618813941e-08	9.26796360284118	"Upregulated"
"239178_at"	4.11125739989027	2.43506961458019	7.53914729383118	2.25987229020501e-08	2.25987229020501e-08	9.25247088977475	"Upregulated"
"219768_at"	4.3281541684634	6.19265006285415	7.53480284377491	2.28580263523729e-08	2.28580263523729e-08	9.24126483891401	"Upregulated"
"210868_s_at"	2.95223889208264	4.07653916330803	7.5339294271074	2.29105216098803e-08	2.29105216098803e-08	9.23901167232533	"Upregulated"
"204836_at"	3.43842657437347	5.07993135583036	7.53273972876113	2.29822238426632e-08	2.29822238426632e-08	9.23594243801306	"Upregulated"
"225062_at"	3.44394417386474	4.06527840128266	7.53172929329846	2.304330131478e-08	2.304330131478e-08	9.23333553700835	"Upregulated"
"238466_at"	3.51869171693125	3.01782656227971	7.52262122751062	2.36013624207603e-08	2.36013624207603e-08	9.20983126731562	"Upregulated"
"227963_at"	3.49997935626699	3.15339928440026	7.51446943649348	2.41124863791575e-08	2.41124863791575e-08	9.18878612454259	"Upregulated"
"228507_at"	4.46984256609035	5.37037169799212	7.50940694799184	2.44355629946271e-08	2.44355629946271e-08	9.1757124067105	"Upregulated"
"204672_s_at"	3.95220321201651	4.93893982419099	7.50777646331085	2.45405517147517e-08	2.45405517147517e-08	9.17150106294612	"Upregulated"
"209714_s_at"	2.77778892389706	4.31075341819763	7.50545544526429	2.46907967705266e-08	2.46907967705266e-08	9.16550559416958	"Upregulated"
"205234_at"	3.4016823729017	2.3028768413608	7.49409574550516	2.54397475161106e-08	2.54397475161106e-08	9.13615262235598	"Upregulated"
"235798_at"	3.43810289661068	3.52237960705358	7.49047526857696	2.56832721810639e-08	2.56832721810639e-08	9.12679415485103	"Upregulated"
"235545_at"	2.43794533294994	4.28079322778653	7.49041653408714	2.56872423345951e-08	2.56872423345951e-08	9.12664232056043	"Upregulated"
"226676_at"	3.74699141463232	2.84606473556808	7.48945670195877	2.57522106501836e-08	2.57522106501836e-08	9.124161002804	"Upregulated"
"205871_at"	3.36167454353797	2.87384960320153	7.4757274310664	2.67000152309931e-08	2.67000152309931e-08	9.08865637937662	"Upregulated"
"204591_at"	6.32106876865855	6.10063976478168	7.4747133365325	2.67714154436396e-08	2.67714154436396e-08	9.08603296700033	"Upregulated"
"203815_at"	4.40462994705013	4.58473870438187	7.47127655769255	2.70148392873871e-08	2.70148392873871e-08	9.07714126021903	"Upregulated"
"219743_at"	3.20593957399437	4.35367541086094	7.4670958895056	2.73139896587814e-08	2.73139896587814e-08	9.06632301216934	"Upregulated"
"228286_at"	2.7031830322013	4.05291052920797	7.46481271569617	2.74787839590116e-08	2.74787839590116e-08	9.06041398375309	"Upregulated"
"222680_s_at"	2.55778737675564	4.03771527276026	7.4634545238028	2.75772945327223e-08	2.75772945327223e-08	9.05689857911164	"Upregulated"
"219476_at"	3.42079345079169	4.24233782173345	7.45776782237233	2.79936709326192e-08	2.79936709326192e-08	9.042177274275	"Upregulated"
"205034_at"	2.62589295751287	4.62183466887984	7.45763449055125	2.8003509747136e-08	2.8003509747136e-08	9.04183206784325	"Upregulated"
"226677_at"	4.25158612405309	3.20660852504058	7.44446517511914	2.89928356514693e-08	2.89928356514693e-08	9.00772508114788	"Upregulated"
"225667_s_at"	4.06856210070488	4.37301804488492	7.44049382969706	2.92980990846343e-08	2.92980990846343e-08	8.99743564426033	"Upregulated"
"204602_at"	4.23462886730329	3.59450664137901	7.43784935248627	2.95031819639825e-08	2.95031819639825e-08	8.99058295965237	"Upregulated"
"239860_at"	3.56093393035837	2.30622986451755	7.43454820471936	2.97612408017874e-08	2.97612408017874e-08	8.9820274474141	"Upregulated"
"242586_at"	3.09687898136547	4.00379892630214	7.42992544023158	3.0126476924573e-08	3.0126476924573e-08	8.97004452091106	"Upregulated"
"230560_at"	4.67570595719113	5.27714465640227	7.42215400057642	3.07507886067694e-08	3.07507886067694e-08	8.94989393441284	"Upregulated"
"210861_s_at"	3.16813825340012	3.96397341789169	7.41830262054203	3.10650458558549e-08	3.10650458558549e-08	8.93990498710909	"Upregulated"
"221491_x_at"	4.73637763669775	4.84011982235314	7.41553659964251	3.12927555134315e-08	3.12927555134315e-08	8.9327299291399	"Upregulated"
"232035_at"	3.40066211336482	4.37177718030702	7.41153041159587	3.16255738447737e-08	3.16255738447737e-08	8.9223362478758	"Upregulated"
"226930_at"	3.65356335955231	3.28241576728377	7.40582064543407	3.21061504612817e-08	3.21061504612817e-08	8.90751946239125	"Upregulated"
"218186_at"	3.62298371410839	5.00594377699479	7.39920408630771	3.26723482050626e-08	3.26723482050626e-08	8.8903446688353	"Upregulated"
"1558034_s_at"	4.33188898934891	7.44350598526178	7.39919196016669	3.26733951409847e-08	3.26733951409847e-08	8.89031318784628	"Upregulated"
"1555216_a_at"	3.61880192083857	4.38182966332433	7.39808034244525	3.27695140397237e-08	3.27695140397237e-08	8.8874272134814	"Upregulated"
"202437_s_at"	4.37740238320977	5.62455355297561	7.38866432747856	3.359531496539e-08	3.359531496539e-08	8.8629754895576	"Upregulated"
"205473_at"	2.86970538489699	4.22361591172259	7.37789851650928	3.45654655420092e-08	3.45654655420092e-08	8.83500560675656	"Upregulated"
"227194_at"	4.18992164008614	4.44518597922974	7.37628466629096	3.4713331839138e-08	3.4713331839138e-08	8.83081158658393	"Upregulated"
